0 86340 0 50899 0 189552
0 0 39699 138271
0 1 32324 135903
0 2 42235 173148
0 3 42178 173169
0 4 41815 173109
0 5 42172 173172
0 6 42171 173151
0 7 41748 173017
0 8 50823 117936
0 9 35786 143179
0 10 35873 144333
0 11 45427 85816
30 0 39699 138271
30 1 32324 135903
30 2 42235 173148
30 3 42178 173169
30 4 41815 173109
30 5 42172 173172
30 6 42171 173151
30 7 41748 173017
30 8 50823 117936
30 9 35786 143179
30 10 35873 144333
30 11 45427 85816
60 0 39699 138271
60 1 32324 135903
60 2 42235 173148
60 3 42178 173169
60 4 41815 173109
60 5 42172 173172
60 6 42171 173151
60 7 41748 173017
60 8 50823 117936
60 9 35786 143179
60 10 35873 144333
60 11 45427 85816
90 0 39699 138271
90 1 32324 135903
90 2 42235 173148
90 3 42178 173169
90 4 41815 173109
90 5 42172 173172
90 6 42171 173151
90 7 41748 173017
90 8 50823 117936
90 9 35786 143179
90 10 35873 144333
90 11 45427 85816
120 0 39699 138271
120 1 32324 135903
120 2 42235 173148
120 3 42178 173169
120 4 41815 173109
120 5 42172 173172
120 6 42171 173151
120 7 41748 173017
120 8 50823 117936
120 9 35786 143179
120 10 35873 144333
120 11 45427 85816
150 0 39699 138271
150 1 32324 135903
150 2 42235 173148
150 3 42178 173169
150 4 41815 173109
150 5 42172 173172
150 6 42171 173151
150 7 41748 173017
150 8 50823 117936
150 9 35786 143179
150 10 35873 144333
150 11 45427 85816
180 0 39699 138271
180 1 32324 135903
180 2 42235 173148
180 3 42178 173169
180 4 41815 173109
180 5 42172 173172
180 6 42171 173151
180 7 41748 173017
180 8 50823 117936
180 9 35786 143179
180 10 35873 144333
180 11 45427 85816
210 0 39699 138271
210 1 32324 135903
210 2 42235 173148
210 3 42178 173169
210 4 41815 173109
210 5 42172 173172
210 6 42171 173151
210 7 41748 173017
210 8 50823 117936
210 9 35786 143179
210 10 35873 144333
210 11 45427 85816
240 0 39699 138271
240 1 32324 135903
240 2 42235 173148
240 3 42178 173169
240 4 41815 173109
240 5 42172 173172
240 6 42171 173151
240 7 41748 173017
240 8 50823 117936
240 9 35786 143179
240 10 35873 144333
