0 172770 0 38751 0 65687
0 0 9424 4293
0 1 27563 15009
0 2 17865 45308
0 3 18024 48106
0 4 17867 45132
0 5 38741 63052
0 6 18043 48112
0 7 315 28348
0 8 2647 1544
30 0 9424 4293
30 1 27563 15009
30 2 17862 45307
30 3 18024 48106
30 4 17867 45132
30 5 38741 63052
30 6 18043 48112
30 7 315 28348
30 8 2647 1544
60 0 9424 4293
60 1 27563 15009
60 2 17855 45305
60 3 18024 48106
60 4 17867 45132
60 5 38741 63052
60 6 18043 48112
60 7 315 28348
60 8 2647 1544
90 0 9424 4293
90 1 27563 15009
90 2 17855 45305
90 3 18024 48106
90 4 17867 45132
90 5 38741 63052
90 6 18043 48112
90 7 315 28348
90 8 2647 1544
120 0 9424 4293
120 1 27563 15009
120 2 17855 45305
120 3 18024 48106
120 4 17867 45132
120 5 38741 63052
120 6 18043 48112
120 7 315 28348
120 8 2647 1544
150 0 9424 4293
150 1 27563 15009
150 2 17855 45305
150 3 18024 48106
150 4 17867 45132
150 5 38741 63052
150 6 18043 48112
150 7 315 28348
150 8 2647 1544
180 0 9424 4293
180 1 27563 15009
180 2 17855 45305
180 3 18024 48106
180 4 17867 45132
180 5 38741 63052
180 6 18043 48112
180 7 315 28348
180 8 2647 1544
210 0 9424 4293
210 1 27563 15009
210 2 17855 45305
210 3 18024 48106
210 4 17867 45132
210 5 38741 63052
210 6 18043 48112
210 7 315 28348
210 8 2647 1544
240 0 9424 4293
240 1 27563 15009
240 2 17855 45305
240 3 18024 48106
240 4 17867 45132
240 5 38741 63052
240 6 18043 48112
240 7 315 28348
240 8 2647 1544
270 0 9424 4293
270 1 27563 15009
270 2 17855 45305
270 3 18024 48106
270 4 17867 45132
270 5 38741 63052
270 6 18043 48112
270 7 315 28348
270 8 2647 1544
300 0 9424 4293
300 1 27563 15009
300 2 17855 45305
300 3 18024 48106
300 4 17867 45132
300 5 38741 63052
300 6 18043 48112
300 7 315 28348
300 8 2647 1544
330 0 9424 4293
330 1 27563 15009
330 2 17855 45305
330 3 18024 48106
330 4 17867 45132
330 5 38741 63052
330 6 18043 48112
330 7 315 28348
330 8 2647 1544
360 0 9424 4293
360 1 27563 15009
360 2 17855 45305
360 3 18024 48106
360 4 17867 45132
360 5 38741 63052
