Time,Node,Latitude,Longitude
1331683207.0,B0106,43.4850776,-5.4365841
1331683237.0,B0106,43.4851816,-5.436759
1331683243.0,9651D,43.3563733333,-5.13199166667
1331683267.0,B0106,43.4852136,-5.4366786
1331683297.0,B0106,43.4849431,-5.4367455
1331683304.0,9651D,43.3564,-5.13199666667
1331683327.0,B0106,43.4851867,-5.4367575
1331683357.0,B0106,43.4851528,-5.4367235
1331683364.0,9651D,43.35638,-5.13198
1331683387.0,B0106,43.4851044,-5.4366968
1331683417.0,B0106,43.4850999,-5.4367185
1331683424.0,9651D,43.3563866667,-5.13202333333
1331683447.0,B0106,43.4850609,-5.4367479
1331683477.0,B0106,43.4850215,-5.4367748
1331683485.0,9651D,43.3563883333,-5.13196833333
1331683507.0,B0106,43.485004,-5.4367993
1331683537.0,B0106,43.4850155,-5.4367919
1331683545.0,9651D,43.35638,-5.13195333333
1331683567.0,B0106,43.4850242,-5.4367512
1331683597.0,B0106,43.4850433,-5.4364434
1331683605.0,9651D,43.3563883333,-5.131915
1331683627.0,B0106,43.4850317,-5.4366204
1331683657.0,B0106,43.4850058,-5.4367447
1331683665.0,9651D,43.356355,-5.13189166667
1331683687.0,B0106,43.484996,-5.4367896
1331683717.0,B0106,43.4849105,-5.4367198
1331683725.0,9651D,43.3563833333,-5.13189666667
1331683747.0,B0106,43.4849981,-5.436762
1331683777.0,B0106,43.4849582,-5.4370083
1331683786.0,9651D,43.3564216667,-5.13194166667
1331683808.0,B0106,43.4850045,-5.4367766
1331683837.0,B0106,43.4851016,-5.4366894
1331683846.0,9651D,43.3564016667,-5.13196166667
1331683867.0,B0106,43.4851097,-5.4366844
1331683897.0,B0106,43.4849056,-5.4368398
1331683906.0,9651D,43.3563883333,-5.13192333333
1331683927.0,B0106,43.4850981,-5.4368294
1331683957.0,B0106,43.4849377,-5.4370227
1331683967.0,9651D,43.356415,-5.13200833333
1331683987.0,B0106,43.4849566,-5.4371294
1331684017.0,B0106,43.4850245,-5.4369236
1331684027.0,9651D,43.35638,-5.13202666667
1331684047.0,B0106,43.4850716,-5.4368169
1331684077.0,B0106,43.4850226,-5.4368367
1331684087.0,9651D,43.356375,-5.132
1331684107.0,B0106,43.4850117,-5.4368346
1331684137.0,B0106,43.4849255,-5.4367844
1331684148.0,9651D,43.3563516667,-5.13199333333
1331684167.0,B0106,43.4848694,-5.4367691
1331684197.0,B0106,43.4848127,-5.4367985
1331684207.0,9651D,43.3563633333,-5.13203333333
1331684227.0,B0106,43.4849401,-5.4367725
1331684257.0,B0106,43.4847871,-5.436782
1331684267.0,9651D,43.35636,-5.13193333333
1331684287.0,B0106,43.4849684,-5.4367636
1331684317.0,B0106,43.4850568,-5.4367214
1331684328.0,9651D,43.35636,-5.13189166667
1331684347.0,B0106,43.4850509,-5.4367083
1331684377.0,B0106,43.4849846,-5.4367223
1331684388.0,9651D,43.3563816667,-5.13188833333
1331684407.0,B0106,43.4850143,-5.4367537
1331684437.0,B0106,43.4852667,-5.4363389
1331684449.0,9651D,43.3563116667,-5.13190166667
1331684467.0,B0106,43.4851902,-5.4364331
1331684497.0,B0106,43.4850847,-5.4366312
1331684509.0,9651D,43.35634,-5.13185
1331684527.0,B0106,43.4851814,-5.4368048
1331684557.0,B0106,43.4849983,-5.4367994
1331684569.0,9651D,43.356375,-5.131885
1331684587.0,B0106,43.4850678,-5.4367648
1331684617.0,B0106,43.4852847,-5.4365044
1331684630.0,9651D,43.3563266667,-5.131935
1331684647.0,B0106,43.4851533,-5.4367251
1331684677.0,B0106,43.4850519,-5.4369027
1331684690.0,9651D,43.35631,-5.13190666667
1331684707.0,B0106,43.4850601,-5.4369219
1331684737.0,B0106,43.4849025,-5.4367624
1331684749.0,9651D,43.3563233333,-5.131955
1331684767.0,B0106,43.4850337,-5.4365942
1331684797.0,B0106,43.48517,-5.4366018
1331684810.0,9651D,43.35635,-5.13196
1331684827.0,B0106,43.4851108,-5.4367117
1331684857.0,B0106,43.4850488,-5.4367986
1331684870.0,9651D,43.3563033333,-5.13195333333
1331684887.0,B0106,43.4851599,-5.4367287
1331684917.0,B0106,43.4851578,-5.4367679
1331684930.0,9651D,43.356285,-5.13192333333
1331684947.0,B0106,43.4852229,-5.4367591
1331684977.0,B0106,43.4850192,-5.4368731
1331684991.0,9651D,43.35628,-5.13192
1331685007.0,B0106,43.4849585,-5.4369068
1331685037.0,B0106,43.4852324,-5.4367571
1331685051.0,9651D,43.35635,-5.13195666667
1331685067.0,B0106,43.4851928,-5.4367936
1331685098.0,B0106,43.485204,-5.4368688
1331685112.0,9651D,43.3563333333,-5.13200666667
1331685127.0,B0106,43.485235,-5.4367237
1331685157.0,B0106,43.4851895,-5.4366855
1331685172.0,9651D,43.3562583333,-5.13203
1331685187.0,B0106,43.4851877,-5.4368348
1331685218.0,B0106,43.4851503,-5.4368565
1331685231.0,9651D,43.3563133333,-5.13197833333
1331685247.0,B0106,43.4851784,-5.4368757
1331685277.0,B0106,43.4851853,-5.436748
1331685292.0,9651D,43.35631,-5.13201333333
1331685307.0,B0106,43.4851633,-5.4368162
1331685337.0,B0106,43.4851253,-5.4368131
1331685352.0,9651D,43.356325,-5.13197166667
1331685367.0,B0106,43.4851236,-5.4368609
1331685397.0,B0106,43.4851238,-5.4369531
1331685412.0,9651D,43.356505,-5.13195166667
