Time,Node,Latitude,Longitude
1331683206.0,B0146,43.2377681,-6.510283
1331683266.0,B0146,43.2377776,-6.5101734
1331683268.0,B0177,43.237484,-6.5107264
1331683326.0,B0146,43.2377499,-6.5102775
1331683386.0,B0146,43.2377172,-6.510354
1331683389.0,B0177,43.2374733,-6.5107166
1331683446.0,B0146,43.2377559,-6.5103341
1331683506.0,B0146,43.237749,-6.510336
1331683509.0,B0177,43.2374915,-6.5107161
1331683566.0,B0146,43.2377659,-6.5103166
1331683626.0,B0146,43.2377577,-6.5103501
1331683629.0,B0177,43.2374644,-6.5107174
1331683686.0,B0146,43.2377303,-6.5103536
1331683746.0,B0146,43.2377177,-6.5103077
1331683749.0,B0177,43.2374841,-6.5107169
1331683806.0,B0146,43.2377569,-6.5103609
1331683866.0,B0146,43.2377339,-6.5103326
1331683869.0,B0177,43.2374736,-6.5106967
1331683926.0,B0146,43.237761,-6.5102906
1331683986.0,B0146,43.2377168,-6.5103053
1331683990.0,B0177,43.2374805,-6.5107106
1331684046.0,B0146,43.237709,-6.5103724
1331684106.0,B0146,43.2376903,-6.5103972
1331684110.0,B0177,43.2374894,-6.5107135
1331684166.0,B0146,43.2377015,-6.5103574
1331684227.0,B0146,43.2376826,-6.5104308
1331684229.0,B0177,43.2374931,-6.5107283
1331684287.0,B0146,43.2376011,-6.5104942
1331684347.0,B0146,43.2376001,-6.5104783
1331684349.0,B0177,43.2374831,-6.5107055
1331684407.0,B0146,43.2376578,-6.5103592
1331684467.0,B0146,43.2376679,-6.5103215
1331684470.0,B0177,43.2374761,-6.5107055
1331684527.0,B0146,43.2376891,-6.5103466
1331684587.0,B0146,43.2378002,-6.5103117
1331684590.0,B0177,43.2374814,-6.5107229
1331684648.0,B0146,43.2378151,-6.5103032
1331684707.0,B0146,43.2377794,-6.5103409
1331684710.0,B0177,43.2374918,-6.5107239
1331684767.0,B0146,43.2377113,-6.5103883
1331684827.0,B0146,43.2377281,-6.5103343
1331684831.0,B0177,43.2374905,-6.5107284
1331684887.0,B0146,43.2377012,-6.5103824
1331684947.0,B0146,43.2376844,-6.5104165
1331684950.0,B0177,43.2374956,-6.5107375
1331685007.0,B0146,43.237629,-6.5104129
1331685067.0,B0146,43.2376146,-6.5104032
1331685071.0,B0177,43.237482,-6.5107261
1331685127.0,B0146,43.2376192,-6.5103818
1331685188.0,B0146,43.2377822,-6.5103428
1331685190.0,B0177,43.2375026,-6.5107388
1331685248.0,B0146,43.2377584,-6.5102957
1331685308.0,B0146,43.2377576,-6.5103184
1331685310.0,B0177,43.2374719,-6.5107211
1331685368.0,B0146,43.2377681,-6.510351
1331685428.0,B0146,43.2377751,-6.5103196
1331685431.0,B0177,43.2374795,-6.5107324
1331685488.0,B0146,43.2377434,-6.5103135
1331685548.0,B0146,43.2377327,-6.5103239
1331685551.0,B0177,43.2374749,-6.5107171
1331685608.0,B0146,43.2377431,-6.5103577
1331685668.0,B0146,43.2377526,-6.5103539
1331685671.0,B0177,43.2374737,-6.510719
1331685728.0,B0146,43.2377536,-6.5103521
1331685789.0,B0146,43.2377755,-6.5103633
1331685791.0,B0177,43.2374934,-6.5107281
1331685849.0,B0146,43.2378228,-6.5103166
1331685909.0,B0146,43.2378395,-6.5103382
1331685911.0,B0177,43.2374892,-6.510743
1331685969.0,B0146,43.2378429,-6.510349
1331686029.0,B0146,43.2377995,-6.5103544
1331686031.0,B0177,43.2374947,-6.5107337
1331686088.0,B0146,43.2377764,-6.5103554
1331686148.0,B0146,43.2377723,-6.5103547
1331686151.0,B0177,43.2375135,-6.5107318
1331686209.0,B0146,43.2376866,-6.5104163
1331686269.0,B0146,43.237773,-6.5103243
1331686272.0,B0177,43.2375091,-6.5107354
1331686329.0,B0146,43.2377701,-6.5103322
1331686389.0,B0146,43.2377174,-6.510349
1331686392.0,B0177,43.2375044,-6.5107376
1331686449.0,B0146,43.2376985,-6.51035
1331686509.0,B0146,43.2377468,-6.5103386
1331686512.0,B0177,43.2374899,-6.510721
1331686569.0,B0146,43.2376942,-6.5103667
1331686629.0,B0146,43.237687,-6.5103543
1331686632.0,B0177,43.2374969,-6.5107473
1331686689.0,B0146,43.2376971,-6.5103513
1331686749.0,B0146,43.2377301,-6.5103536
1331686752.0,B0177,43.2374873,-6.5107453
1331686809.0,B0146,43.2376968,-6.5102948
1331686869.0,B0146,43.2377338,-6.5103105
1331686872.0,B0177,43.2374835,-6.510751
1331686929.0,B0146,43.2377427,-6.5103061
1331686989.0,B0146,43.2377336,-6.5102621
