Time,Node,Latitude,Longitude
1332633606.0,B0108,43.3015837,-6.246296
1332633609.0,B0097,43.3011609,-6.2439847
1332633625.0,B0094,43.3853983,-6.0769341
1332633636.0,B0108,43.3013514,-6.2449027
1332633637.0,B0097,43.3011467,-6.2412501
1332633641.0,B0167,43.3316976,-6.4101454
1332633645.0,3588D,43.125195,-6.45855666667
1332633655.0,B0094,43.3871871,-6.0743099
1332633667.0,B0097,43.3001004,-6.2426313
1332633667.0,B0108,43.3011161,-6.2435219
1332633685.0,B0094,43.3888909,-6.0714926
1332633696.0,B0108,43.300989,-6.2418013
1332633697.0,B0097,43.2991834,-6.2446703
1332633706.0,3588D,43.1235966667,-6.45795666667
1332633715.0,B0094,43.3908415,-6.0687324
1332633726.0,B0108,43.3008413,-6.2414367
1332633728.0,B0097,43.2990922,-6.2471361
1332633745.0,B0094,43.3917612,-6.0677487
1332633757.0,B0108,43.3000865,-6.2430067
1332633758.0,B0097,43.2978772,-6.2467922
1332633762.0,B0167,43.3318568,-6.4101395
1332633766.0,3588D,43.12246,-6.45687
1332633775.0,B0094,43.3925026,-6.0673289
1332633786.0,B0108,43.2993197,-6.2441774
1332633788.0,B0097,43.2968356,-6.2444434
1332633805.0,B0094,43.3911189,-6.0679592
1332633816.0,B0108,43.2993191,-6.2459029
1332633818.0,B0097,43.2973136,-6.2432029
1332633826.0,3588D,43.121195,-6.45498
1332633835.0,B0094,43.3895165,-6.0682474
1332633846.0,B0108,43.2991677,-6.2473748
1332633848.0,B0097,43.2973051,-6.2412919
1332633866.0,B0094,43.3886411,-6.069222
1332633876.0,B0108,43.2979124,-6.2467377
1332633877.0,B0097,43.2986163,-6.2391355
1332633882.0,B0167,43.3318092,-6.4102441
1332633887.0,3588D,43.120235,-6.45387333333
1332633895.0,B0094,43.3871673,-6.0693558
1332633906.0,B0108,43.2973989,-6.2445941
1332633908.0,B0097,43.2975617,-6.2368686
1332633925.0,B0094,43.3855769,-6.0691783
1332633936.0,B0108,43.2968567,-6.2428481
1332633938.0,B0097,43.2979241,-6.2352299
1332633955.0,B0094,43.3852419,-6.0678882
1332633966.0,B0108,43.2973529,-6.2423886
1332633968.0,B0097,43.2953197,-6.2342488
1332633986.0,B0094,43.3852308,-6.0682101
1332633996.0,B0108,43.2974843,-6.2410024
1332633998.0,B0097,43.2938196,-6.23022
1332634002.0,B0167,43.3317634,-6.4101686
1332634015.0,B0094,43.3852146,-6.0682535
1332634026.0,B0108,43.298406,-6.2394195
1332634028.0,B0097,43.2934181,-6.2267015
1332634045.0,B0094,43.3852026,-6.0683176
1332634056.0,B0108,43.2978728,-6.2377732
1332634058.0,B0097,43.2948977,-6.2266295
1332634075.0,B0094,43.3852521,-6.0683404
1332634086.0,B0108,43.2978932,-6.2356094
1332634088.0,B0097,43.2961876,-6.2271175
1332634105.0,B0094,43.3852361,-6.068352
1332634116.0,B0108,43.297373,-6.2346586
1332634118.0,B0097,43.2975479,-6.2291899
1332634122.0,B0167,43.3317927,-6.4102903
1332634135.0,B0094,43.3851941,-6.0682334
1332634146.0,B0108,43.2958606,-6.2342116
1332634148.0,B0097,43.2988763,-6.2314971
1332634176.0,B0108,43.2938684,-6.2300166
1332634178.0,B0097,43.3004989,-6.2326833
1332634206.0,B0108,43.2936355,-6.2266477
1332634208.0,B0097,43.3025381,-6.2325831
1332634237.0,B0108,43.2949673,-6.226627
1332634238.0,B0097,43.30446,-6.2327459
1332634243.0,B0167,43.3317145,-6.4102145
1332634267.0,B0108,43.2961663,-6.2270575
1332634269.0,B0097,43.3055516,-6.2309859
