Time,Node,Latitude,Longitude
1348099223.0,B0169,43.5271282,-6.5380392
1348099253.0,B0169,43.5271223,-6.5379917
1348099273.0,B0165,43.2203859,-6.9917874
1348099284.0,B0169,43.5271289,-6.5379746
1348099313.0,B0169,43.5271496,-6.5379239
1348099343.0,B0169,43.5271423,-6.5379772
1348099373.0,B0169,43.527062,-6.5379338
1348099393.0,B0165,43.2203927,-6.991799
1348099403.0,B0169,43.5270886,-6.5379749
1348099433.0,B0169,43.5271375,-6.537926
1348099463.0,B0169,43.5270973,-6.5378689
1348099493.0,B0169,43.5270946,-6.5378545
1348099514.0,B0165,43.2203979,-6.9917889
1348099523.0,B0169,43.5270697,-6.5378497
1348099553.0,B0169,43.5270803,-6.5378942
1348099583.0,B0169,43.5270877,-6.5379131
1348099613.0,B0169,43.5270781,-6.5379431
1348099633.0,B0165,43.2203996,-6.9917922
1348099643.0,B0169,43.5270837,-6.5379891
1348099673.0,B0169,43.5270873,-6.5379758
1348099703.0,B0169,43.5271078,-6.5379899
1348099733.0,B0169,43.5271234,-6.5380049
1348099754.0,B0165,43.2203981,-6.9917777
1348099763.0,B0169,43.5271505,-6.5380032
1348099793.0,B0169,43.5271703,-6.5380052
1348099824.0,B0169,43.5271537,-6.5380188
1348099853.0,B0169,43.5271538,-6.5380404
1348099874.0,B0165,43.2203803,-6.9917943
1348099883.0,B0169,43.5271519,-6.5380612
1348099913.0,B0169,43.5271593,-6.5380519
1348099943.0,B0169,43.5271371,-6.5380525
1348099973.0,B0169,43.5271308,-6.5380368
1348099994.0,B0165,43.220395,-6.9917812
1348100003.0,B0169,43.527129,-6.538028
1348100033.0,B0169,43.5271463,-6.5380399
1348100064.0,B0169,43.5271344,-6.5380694
1348100065.0,7475C,43.22001,-6.99145833333
1348100093.0,B0169,43.5271497,-6.5380693
1348100114.0,B0165,43.2203741,-6.991755
1348100123.0,B0169,43.527156,-6.5380772
1348100125.0,7475C,43.220035,-6.991455
1348100153.0,B0169,43.5271419,-6.5380228
1348100183.0,B0169,43.5271816,-6.5379853
1348100185.0,7475C,43.22017,-6.991495
1348100213.0,B0169,43.5271546,-6.5380176
1348100234.0,B0165,43.2203899,-6.9917744
1348100243.0,B0169,43.5271561,-6.5379976
1348100245.0,7475C,43.2197816667,-6.991685
1348100273.0,B0169,43.5271604,-6.5380007
1348100303.0,B0169,43.5271494,-6.5379898
1348100305.0,7475C,43.218295,-6.99227166667
1348100333.0,B0169,43.5271243,-6.5379718
1348100355.0,B0165,43.2203771,-6.991773
1348100363.0,B0169,43.5270746,-6.5379589
1348100366.0,7475C,43.2193466667,-6.99267333333
1348100393.0,B0169,43.5271248,-6.5380208
1348100426.0,7475C,43.21973,-6.994385
1348100474.0,B0165,43.2203705,-6.9917691
1348100486.0,7475C,43.219715,-6.99444
1348100514.0,B0169,43.5271178,-6.5379807
