Time,Node,Latitude,Longitude
1344556864.0,B0177,43.2375654,-6.510566
1344556892.0,B0181,43.0336841,-6.8703203
1344556984.0,B0177,43.2376025,-6.510586
1344557012.0,B0181,43.0336768,-6.8703182
1344557104.0,B0177,43.2376425,-6.5106238
1344557132.0,B0181,43.0336194,-6.8702859
1344557224.0,B0177,43.2375824,-6.5105755
1344557252.0,B0181,43.0335428,-6.8702343
1344557344.0,B0177,43.2375955,-6.5105988
1344557372.0,B0181,43.0337512,-6.8702978
1344557464.0,B0177,43.2376464,-6.5106427
1344557493.0,B0181,43.0336862,-6.8702888
1344557584.0,B0177,43.2376044,-6.5105879
1344557613.0,B0181,43.0336951,-6.8702726
1344557705.0,B0177,43.2376288,-6.5106196
1344557733.0,B0181,43.0336944,-6.8703671
1344557825.0,B0177,43.2376812,-6.5106584
1344557853.0,B0181,43.0336702,-6.8702876
1344557945.0,B0177,43.2376322,-6.51062
1344557973.0,B0181,43.0337057,-6.870241
1344558065.0,B0177,43.2376316,-6.5106397
1344558093.0,B0181,43.0337285,-6.8703324
1344558185.0,B0177,43.2376103,-6.5106126
1344558213.0,B0181,43.0337106,-6.8703326
1344558305.0,B0177,43.2376057,-6.510599
1344558333.0,B0181,43.0336955,-6.870258
1344558425.0,B0177,43.23757,-6.5105514
1344558453.0,B0181,43.0337169,-6.870315
1344558546.0,B0177,43.2376051,-6.5106028
1344558574.0,B0181,43.0336637,-6.8703543
1344558665.0,B0177,43.237572,-6.5105621
1344558693.0,B0181,43.0336982,-6.8703556
1344558786.0,B0177,43.2375913,-6.5106023
1344558814.0,B0181,43.0336631,-6.870306
1344558906.0,B0177,43.2375254,-6.5105029
1344558934.0,B0181,43.0336573,-6.8702798
1344559026.0,B0177,43.2376071,-6.5106081
1344559054.0,B0181,43.0336108,-6.8703036
1344559146.0,B0177,43.2375992,-6.5106019
1344559174.0,B0181,43.0336772,-6.8703169
1344559266.0,B0177,43.2376281,-6.5106296
1344559294.0,B0181,43.0337173,-6.870369
1344559386.0,B0177,43.2375709,-6.5105648
1344559414.0,B0181,43.0336804,-6.8702604
1344559507.0,B0177,43.2375988,-6.5105882
1344559534.0,B0181,43.0336651,-6.8703127
1344559626.0,B0177,43.2376145,-6.5106028
1344559654.0,B0181,43.0336549,-6.8703099
1344559746.0,B0177,43.2376102,-6.5106132
1344559775.0,B0181,43.0336701,-6.8703094
1344559867.0,B0177,43.2375797,-6.5105586
1344559895.0,B0181,43.0337438,-6.8703162
1344559987.0,B0177,43.2376002,-6.5106236
1344560015.0,B0181,43.0335457,-6.8703118
1344560107.0,B0177,43.2375967,-6.5105766
1344560135.0,B0181,43.0336294,-6.8702972
1344560227.0,B0177,43.2375614,-6.5105707
1344560255.0,B0181,43.0336382,-6.8702697
1344560347.0,B0177,43.2376033,-6.5106014
1344560375.0,B0181,43.0337565,-6.8703329
1344560467.0,B0177,43.2376014,-6.5106006
1344560496.0,B0181,43.0337464,-6.8703011
1344560588.0,B0177,43.2376436,-6.5105882
1344560616.0,B0181,43.0336882,-6.8702897
1344560708.0,B0177,43.2375832,-6.51057
1344560736.0,B0181,43.0336536,-6.8701821
1344560828.0,B0177,43.237598,-6.5105931
1344560856.0,B0181,43.0336317,-6.870108
1344560948.0,B0177,43.2375898,-6.5105976
1344560976.0,B0181,43.0336366,-6.8702354
1344561068.0,B0177,43.2376006,-6.5105873
1344561096.0,B0181,43.0336581,-6.870317
1344561188.0,B0177,43.2376004,-6.5106025
1344561216.0,B0181,43.0336442,-6.8703382
1344561308.0,B0177,43.2375743,-6.5106042
1344561336.0,B0181,43.0336777,-6.8703086
1344561428.0,B0177,43.2376507,-6.5105864
1344561456.0,B0181,43.0336374,-6.870289
1344561549.0,B0177,43.2376394,-6.5105861
1344561576.0,B0181,43.033659,-6.870286
1344561669.0,B0177,43.2376458,-6.5106003
1344561696.0,B0181,43.0335868,-6.8704
1344561752.0,8270W,43.2320416667,-6.76476833333
1344561789.0,B0177,43.237656,-6.5106498
1344561812.0,8270W,43.2318683333,-6.76543666667
1344561817.0,B0181,43.033628,-6.870348
1344561872.0,8270W,43.2357166667,-6.76619
1344561909.0,B0177,43.2376249,-6.5105987
1344561933.0,8270W,43.2408783333,-6.7626
1344561937.0,B0181,43.0336937,-6.8702751
1344561993.0,8270W,43.2441633333,-6.74982
1344562029.0,B0177,43.2375922,-6.5105875
1344562054.0,8270W,43.247215,-6.73877
1344562057.0,B0181,43.033685,-6.8703209
1344562114.0,8270W,43.2542333333,-6.730955
1344562149.0,B0177,43.2376435,-6.5106068
1344562174.0,8270W,43.25581,-6.72230833333
1344562177.0,B0181,43.0337721,-6.8703282
1344562234.0,8270W,43.258645,-6.71362166667
1344562269.0,B0177,43.2376324,-6.5106305
1344562294.0,8270W,43.2627566667,-6.703785
1344562297.0,B0181,43.033696,-6.8703354
1344562354.0,8270W,43.2671766667,-6.693745
1344562389.0,B0177,43.2375963,-6.5106162
1344562415.0,8270W,43.27259,-6.68749333333
1344562417.0,B0181,43.0336576,-6.8702804
1344562475.0,8270W,43.2743,-6.68806333333
1344562509.0,B0177,43.2375642,-6.5106031
1344562535.0,8270W,43.2685966667,-6.68362833333
1344562537.0,B0181,43.0336537,-6.8702924
1344562596.0,8270W,43.2703033333,-6.67990666667
1344562629.0,B0177,43.2375776,-6.5105929
1344562656.0,8270W,43.274045,-6.671565
1344562657.0,B0181,43.0336973,-6.8703217
1344562717.0,8270W,43.2794266667,-6.66310333333
1344562750.0,B0177,43.2375735,-6.5105763
1344562776.0,8270W,43.2823883333,-6.66115333333
1344562777.0,B0181,43.0336994,-6.8703082
1344562836.0,8270W,43.279065,-6.66891666667
1344562870.0,B0177,43.2376212,-6.5106727
1344562897.0,8270W,43.285465,-6.66482
1344562898.0,B0181,43.0336587,-6.8702638
