Time,Node,Latitude,Longitude
1333152008.0,B0037,43.3908723,-6.6644475
1333152009.0,B0169,43.5270836,-6.538023
1333152017.0,B0069,43.3742465,-6.6831032
1333152038.0,B0037,43.3909075,-6.6643949
1333152039.0,B0169,43.527086,-6.5380053
1333152047.0,B0069,43.3742411,-6.6831094
1333152068.0,B0037,43.3909073,-6.6644741
1333152069.0,B0169,43.5270648,-6.5379917
1333152071.0,B0178,43.2377261,-6.5103281
1333152077.0,B0069,43.3742285,-6.6831258
1333152084.0,B0176,43.237667,-6.5103891
1333152098.0,B0037,43.3909161,-6.6645225
1333152099.0,B0169,43.5270552,-6.5379714
1333152107.0,B0069,43.3742173,-6.6831289
1333152128.0,B0037,43.3908296,-6.6645307
1333152129.0,B0169,43.5270705,-6.5379779
1333152137.0,B0069,43.3742245,-6.6831233
1333152158.0,B0037,43.3909162,-6.6644383
1333152159.0,B0169,43.5270942,-6.537998
1333152168.0,B0069,43.3742495,-6.6831077
1333152188.0,B0037,43.390923,-6.6644652
1333152190.0,B0169,43.5270944,-6.5379969
1333152191.0,B0178,43.2377583,-6.5103386
1333152198.0,B0069,43.3742342,-6.6831248
1333152205.0,B0176,43.237699,-6.5103652
1333152218.0,B0037,43.3909508,-6.6645031
1333152220.0,B0169,43.5270726,-6.5379589
1333152228.0,B0069,43.3742382,-6.6831198
1333152248.0,B0037,43.3908726,-6.6645234
1333152250.0,B0169,43.5270856,-6.5380163
1333152258.0,B0069,43.3742525,-6.6831003
1333152278.0,B0037,43.3909605,-6.664459
1333152280.0,B0169,43.527056,-6.5380488
1333152288.0,B0069,43.3742598,-6.6830973
1333152308.0,B0037,43.3909971,-6.6645152
1333152310.0,B0169,43.526929,-6.5378696
1333152311.0,B0178,43.2377067,-6.510325
1333152318.0,B0069,43.3742491,-6.6831011
1333152324.0,B0176,43.2376856,-6.5103759
1333152338.0,B0037,43.3909891,-6.6645067
1333152339.0,B0169,43.5271134,-6.5380277
1333152348.0,B0069,43.3742292,-6.6831098
1333152368.0,B0037,43.3909945,-6.6644724
1333152369.0,B0169,43.5270937,-6.5380201
1333152378.0,B0069,43.3742441,-6.683093
1333152398.0,B0037,43.3910129,-6.6644012
1333152400.0,B0169,43.5271341,-6.5380427
1333152408.0,B0069,43.3742459,-6.6830772
1333152428.0,B0037,43.3910038,-6.6644032
1333152430.0,B0169,43.5271089,-6.538044
1333152431.0,B0178,43.2376586,-6.510384
1333152438.0,B0069,43.3742473,-6.6830794
1333152444.0,B0176,43.2376255,-6.5105101
1333152458.0,B0037,43.3909549,-6.6644425
1333152460.0,B0169,43.5271405,-6.538088
1333152468.0,B0069,43.3742489,-6.6830826
1333152488.0,B0037,43.3910012,-6.6643969
1333152490.0,B0169,43.5271421,-6.5380986
1333152498.0,B0069,43.3742425,-6.6830767
1333152518.0,B0037,43.3909231,-6.6644646
1333152520.0,B0169,43.5271062,-6.5381201
1333152528.0,B0069,43.3742404,-6.6830715
1333152548.0,B0037,43.3909919,-6.6644758
1333152550.0,B0169,43.5271603,-6.5380686
1333152552.0,B0178,43.2375335,-6.5103683
1333152558.0,B0069,43.3742444,-6.6830698
1333152564.0,B0176,43.2376522,-6.5103094
1333152578.0,B0037,43.3910277,-6.6644403
1333152580.0,B0169,43.5271405,-6.5380578
1333152588.0,B0069,43.3742368,-6.6830905
1333152608.0,B0037,43.3910318,-6.6644261
1333152610.0,B0169,43.5270994,-6.5380619
1333152618.0,B0069,43.3742188,-6.6830897
1333152639.0,B0037,43.3909594,-6.6644859
1333152640.0,B0169,43.5271631,-6.5380745
1333152648.0,B0069,43.3742175,-6.6830864
1333152669.0,B0037,43.3910697,-6.6644982
1333152670.0,B0169,43.5271244,-6.5380066
1333152672.0,B0178,43.2376729,-6.5103267
1333152678.0,B0069,43.3742168,-6.6830855
1333152684.0,B0176,43.237678,-6.5104276
1333152699.0,B0037,43.3910074,-6.6644754
1333152700.0,B0169,43.5270861,-6.5380619
1333152708.0,B0069,43.374216,-6.6830875
1333152729.0,B0037,43.3909343,-6.6645359
1333152730.0,B0169,43.5270969,-6.5380746
1333152738.0,B0069,43.3742074,-6.6830875
1333152759.0,B0037,43.3909594,-6.6645374
1333152760.0,B0169,43.5270762,-6.5381023
1333152768.0,B0069,43.3741927,-6.6830882
1333152789.0,B0037,43.3909715,-6.6645686
1333152790.0,B0169,43.5270246,-6.5380467
1333152792.0,B0178,43.2376739,-6.5103312
1333152798.0,B0069,43.3742104,-6.6830983
1333152804.0,B0176,43.2377214,-6.5103923
1333152819.0,B0037,43.3909959,-6.6646096
1333152820.0,B0169,43.5270387,-6.5380466
1333152828.0,B0069,43.3742165,-6.6830952
1333152849.0,B0037,43.3910674,-6.6645902
1333152850.0,B0169,43.5270814,-6.538037
1333152858.0,B0069,43.3742128,-6.6830907
1333152879.0,B0037,43.3909059,-6.6645865
1333152880.0,B0169,43.5271382,-6.5380588
1333152888.0,B0069,43.3741948,-6.6830948
1333152909.0,B0037,43.3909793,-6.6645353
1333152910.0,B0169,43.5270853,-6.5380377
1333152912.0,B0178,43.2377018,-6.5102941
1333152918.0,B0069,43.3741921,-6.6830896
1333152924.0,B0176,43.2376868,-6.5103514
1333152939.0,B0037,43.3910199,-6.664486
1333152940.0,B0169,43.5270646,-6.5380909
1333152948.0,B0069,43.3741939,-6.6830853
1333152969.0,B0037,43.3910313,-6.6645131
1333152970.0,B0169,43.5270625,-6.5380759
1333152978.0,B0069,43.3741916,-6.6830876
1333152999.0,B0037,43.3910497,-6.6644849
1333153000.0,B0169,43.5270517,-6.5380476
1333153008.0,B0069,43.3741892,-6.6830766
1333153029.0,B0037,43.3910527,-6.6644365
1333153030.0,B0169,43.5271346,-6.5380132
1333153032.0,B0178,43.2375839,-6.5102953
1333153038.0,B0069,43.3742035,-6.6830769
1333153044.0,B0176,43.237704,-6.5103523
1333153059.0,B0037,43.3910063,-6.6645015
1333153060.0,B0169,43.527174,-6.5380482
1333153068.0,B0069,43.3741996,-6.6830639
1333153089.0,B0037,43.390964,-6.664597
1333153090.0,B0169,43.5271476,-6.5380354
1333153098.0,B0069,43.3742035,-6.6830691
1333153119.0,B0037,43.3909052,-6.6646019
1333153120.0,B0169,43.5271796,-6.5380082
1333153128.0,B0069,43.3741979,-6.6830705
1333153149.0,B0037,43.3907445,-6.6648517
1333153151.0,B0169,43.5271798,-6.5380016
1333153152.0,B0178,43.2376489,-6.5103076
1333153158.0,B0069,43.3742004,-6.6830738
1333153165.0,B0176,43.2377585,-6.5103768
1333153179.0,B0037,43.3907957,-6.6647914
1333153181.0,B0169,43.5271501,-6.5379854
1333153188.0,B0069,43.3742132,-6.6830762
1333153209.0,B0037,43.3908147,-6.6647635
1333153211.0,B0169,43.5271171,-6.5380393
1333153218.0,B0069,43.3742065,-6.6830819
1333153239.0,B0037,43.3907628,-6.6648097
1333153241.0,B0169,43.5271428,-6.5380248
1333153248.0,B0069,43.3741967,-6.6830871
1333153269.0,B0037,43.3907926,-6.6648154
1333153271.0,B0169,43.5270223,-6.537994
1333153272.0,B0178,43.2376318,-6.5103418
1333153278.0,B0069,43.3741825,-6.6830905
1333153285.0,B0176,43.2377005,-6.5104728
1333153299.0,B0037,43.3907786,-6.6647819
1333153301.0,B0169,43.526998,-6.5379734
1333153308.0,B0069,43.3742375,-6.6830879
1333153329.0,B0037,43.3908364,-6.664723
1333153331.0,B0169,43.5269285,-6.5379575
1333153338.0,B0069,43.3742465,-6.6831044
1333153359.0,B0037,43.3909065,-6.6646277
1333153361.0,B0169,43.5271205,-6.5380232
1333153368.0,B0069,43.3742632,-6.6830903
1333153389.0,B0037,43.3910703,-6.6645314
1333153391.0,B0169,43.5271496,-6.5380446
1333153392.0,B0178,43.2377979,-6.5103313
1333153398.0,B0069,43.3742765,-6.6830769
1333153405.0,B0176,43.2377308,-6.510364
1333153419.0,B0037,43.3913589,-6.6652751
1333153421.0,B0169,43.5269945,-6.5379788
1333153428.0,B0069,43.3742665,-6.6830689
1333153449.0,B0037,43.3924253,-6.6657936
1333153451.0,B0169,43.5271033,-6.5380635
1333153458.0,B0069,43.374252,-6.6830835
1333153479.0,B0037,43.3944728,-6.6638354
1333153481.0,B0169,43.5271469,-6.5380977
1333153488.0,B0069,43.3742602,-6.683095
1333153509.0,B0037,43.3967175,-6.662738
1333153511.0,B0169,43.5271383,-6.5380674
1333153512.0,B0178,43.2376859,-6.5103763
1333153518.0,B0069,43.3744105,-6.6830674
1333153525.0,B0176,43.2376839,-6.5103889
1333153539.0,B0037,43.3985716,-6.661666
1333153542.0,B0169,43.5270797,-6.5380352
1333153548.0,B0069,43.3757587,-6.6824147
1333153569.0,B0037,43.4003312,-6.6595019
1333153571.0,B0169,43.5270147,-6.5379932
1333153578.0,B0069,43.3770983,-6.6817136
1333153599.0,B0037,43.4013543,-6.6566475
1333153601.0,B0169,43.5270224,-6.5379968
1333153608.0,B0069,43.3788485,-6.6810984
1333153622.0,B0125,43.4073067,-6.6519967
1333153629.0,B0037,43.4019188,-6.6545258
1333153631.0,B0169,43.5270564,-6.5380095
1333153633.0,B0178,43.2376716,-6.5103837
1333153638.0,B0069,43.3807468,-6.6807584
1333153645.0,B0176,43.2376874,-6.5103763
1333153659.0,B0037,43.402949,-6.6538068
1333153661.0,B0169,43.5270733,-6.5380301
1333153668.0,B0069,43.3822004,-6.6799289
1333153689.0,B0037,43.4039964,-6.6516601
1333153691.0,B0169,43.5270686,-6.5379934
1333153698.0,B0069,43.3830809,-6.679208
1333153719.0,B0037,43.4058816,-6.6510288
1333153721.0,B0169,43.5270867,-6.5380093
1333153728.0,B0069,43.3824417,-6.6811683
1333153749.0,B0037,43.407346,-6.6501482
1333153752.0,B0169,43.5270628,-6.5380157
1333153753.0,B0178,43.237732,-6.5103391
1333153759.0,B0069,43.3808095,-6.6828689
1333153765.0,B0176,43.2378111,-6.5104884
1333153779.0,B0037,43.40734,-6.652104
1333153781.0,B0169,43.5270468,-6.5380102
1333153788.0,B0069,43.3789326,-6.6834855
1333153808.0,B0037,43.4090756,-6.6531551
1333153811.0,B0169,43.5270487,-6.5380387
1333153818.0,B0069,43.3777804,-6.6852906
1333153839.0,B0037,43.4102788,-6.6541672
1333153841.0,B0169,43.5271204,-6.5380739
1333153848.0,B0069,43.3777889,-6.6852771
1333153863.0,B0125,43.4036389,-6.6657195
1333153867.0,B0125,43.4035617,-6.6659233
1333153870.0,B0037,43.4117755,-6.6546535
1333153871.0,B0169,43.5271399,-6.5380668
1333153873.0,B0178,43.2377139,-6.5103688
1333153878.0,B0069,43.3774679,-6.6858291
1333153885.0,B0176,43.2378167,-6.510416
1333153900.0,B0037,43.4105869,-6.6559011
1333153908.0,B0069,43.3771266,-6.6862906
1333153922.0,B0125,43.40177,-6.66994
1333153930.0,B0037,43.4093057,-6.6560815
1333153938.0,B0069,43.3769026,-6.686545
1333153957.0,B0169,43.5271165,-6.5379835
1333153960.0,B0037,43.4074938,-6.6557141
