Time,Node,Latitude,Longitude
1332892808.0,B0108,43.5050483,-6.3015023
1332892809.0,B0169,43.5272386,-6.5379432
1332892817.0,B0037,43.503117,-6.2995822
1332892825.0,B0097,43.3719614,-6.1284541
1332892839.0,B0108,43.5050264,-6.301458
1332892839.0,B0169,43.5272313,-6.5379517
1332892847.0,B0037,43.5030975,-6.299586
1332892855.0,B0097,43.3719674,-6.128437
1332892869.0,B0108,43.5048878,-6.3013619
1332892869.0,B0169,43.5271973,-6.5379472
1332892877.0,B0037,43.503034,-6.2995471
1332892885.0,B0097,43.3719741,-6.1284339
1332892899.0,B0108,43.504975,-6.3014545
1332892900.0,B0169,43.5272631,-6.5379764
1332892908.0,B0037,43.503083,-6.2995844
1332892915.0,B0097,43.3720101,-6.1284322
1332892929.0,B0108,43.5049784,-6.30141
1332892930.0,B0169,43.5273032,-6.537919
1332892937.0,B0037,43.5031288,-6.2995571
1332892945.0,B0097,43.3719728,-6.1284505
1332892959.0,B0108,43.5048706,-6.3013705
1332892960.0,B0169,43.5272528,-6.5379188
1332892967.0,B0037,43.5031413,-6.2995924
1332892975.0,B0097,43.3719586,-6.1284424
1332892989.0,B0108,43.5049276,-6.301355
1332892990.0,B0169,43.527184,-6.5378893
1332892997.0,B0037,43.5031489,-6.2995747
1332893005.0,B0097,43.3719589,-6.1284496
1332893018.0,B0108,43.5049601,-6.3013352
1332893020.0,B0169,43.5271364,-6.5378783
1332893027.0,B0037,43.5031674,-6.2996324
1332893035.0,B0097,43.3719401,-6.1284401
1332893048.0,B0108,43.5048626,-6.3012954
1332893050.0,B0169,43.5271573,-6.5378974
1332893057.0,B0037,43.5031478,-6.2995347
1332893065.0,B0097,43.3719676,-6.1284433
1332893079.0,B0108,43.5047911,-6.3013252
1332893080.0,B0169,43.5271846,-6.5379399
1332893087.0,B0037,43.503143,-6.2994936
1332893088.0,B0069,43.4614065,-6.398927
1332893095.0,B0097,43.3719759,-6.1284327
1332893109.0,B0108,43.5050387,-6.301311
1332893110.0,B0169,43.5271929,-6.5379246
1332893117.0,B0037,43.5039825,-6.2990362
1332893118.0,B0069,43.4615123,-6.4007981
1332893125.0,B0097,43.3720026,-6.1284102
1332893138.0,B0108,43.5050048,-6.3012564
1332893140.0,B0169,43.5272347,-6.5379359
1332893147.0,B0037,43.5048671,-6.2999962
1332893148.0,B0069,43.4606698,-6.4030776
1332893155.0,B0097,43.3719551,-6.1284303
1332893168.0,B0108,43.5050213,-6.3014076
1332893170.0,B0169,43.5272155,-6.5379398
1332893177.0,B0037,43.5049596,-6.3014446
1332893178.0,B0069,43.4626656,-6.4062175
1332893185.0,B0097,43.3719361,-6.1284592
1332893199.0,B0108,43.5050363,-6.3013803
1332893201.0,B0169,43.527202,-6.5379591
1332893207.0,B0037,43.5050061,-6.3016871
1332893208.0,B0069,43.4628154,-6.4100164
1332893215.0,B0097,43.3719365,-6.1284526
1332893229.0,B0108,43.505082,-6.3014012
1332893230.0,B0169,43.5271904,-6.5379573
1332893237.0,B0037,43.5050203,-6.3016444
1332893238.0,B0069,43.4608274,-6.4131408
1332893245.0,B0097,43.3719444,-6.128443
1332893258.0,B0108,43.5048949,-6.3014726
1332893260.0,B0169,43.5272007,-6.5379426
1332893267.0,B0037,43.5049945,-6.3016727
1332893268.0,B0069,43.4613288,-6.4163602
1332893275.0,B0097,43.3719376,-6.12844
1332893288.0,B0108,43.5049383,-6.3014073
1332893290.0,B0169,43.5271899,-6.5379315
1332893297.0,B0037,43.5050514,-6.3016846
1332893298.0,B0069,43.4628954,-6.4193033
1332893305.0,B0097,43.3719499,-6.128426
1332893319.0,B0108,43.5049449,-6.3013417
1332893320.0,B0169,43.5273054,-6.5379224
1332893327.0,B0037,43.505078,-6.3016698
1332893328.0,B0069,43.4643054,-6.4233189
1332893335.0,B0097,43.371963,-6.1284313
1332893349.0,B0108,43.5048821,-6.3014179
1332893350.0,B0169,43.527317,-6.5379282
1332893357.0,B0037,43.5050396,-6.3016485
1332893358.0,B0069,43.4657714,-6.4277441
1332893365.0,B0097,43.3719774,-6.1284242
1332893378.0,B0108,43.5048809,-6.3013199
1332893380.0,B0169,43.527407,-6.5379086
1332893387.0,B0037,43.505012,-6.3016409
1332893388.0,B0069,43.4697347,-6.429881
1332893395.0,B0097,43.3719657,-6.128424
1332893408.0,B0108,43.5050262,-6.3014708
1332893410.0,B0169,43.5272233,-6.5379401
1332893417.0,B0037,43.5049984,-6.3016459
1332893418.0,B0069,43.472029,-6.4283449
1332893425.0,B0097,43.3719895,-6.128408
1332893438.0,B0108,43.5049138,-6.3013664
1332893441.0,B0169,43.5271968,-6.5379267
1332893447.0,B0037,43.5050175,-6.3016421
1332893448.0,B0069,43.473715,-6.4315389
1332893455.0,B0097,43.3720232,-6.128389
1332893469.0,B0108,43.5049427,-6.3015808
1332893470.0,B0169,43.527175,-6.5379231
1332893477.0,B0037,43.5050337,-6.3016324
1332893478.0,B0069,43.4757924,-6.4341055
1332893485.0,B0097,43.3720904,-6.1283733
1332893499.0,B0108,43.5051531,-6.3016702
1332893500.0,B0169,43.5271635,-6.5379274
1332893507.0,B0037,43.5050245,-6.3015935
