Time,Node,Latitude,Longitude
1333152008.0,B0037,43.3908723,-6.6644475
1333152009.0,B0089,43.5275536,-6.5384685
1333152009.0,B0169,43.5270836,-6.538023
1333152015.0,B0079,43.3908758,-6.6646698
1333152017.0,B0069,43.3742465,-6.6831032
1333152038.0,B0037,43.3909075,-6.6643949
1333152039.0,B0089,43.5278629,-6.5387517
1333152039.0,B0169,43.527086,-6.5380053
1333152045.0,B0079,43.3908684,-6.6647272
1333152047.0,B0069,43.3742411,-6.6831094
1333152068.0,B0037,43.3909073,-6.6644741
1333152069.0,B0089,43.5278629,-6.5387517
1333152069.0,B0169,43.5270648,-6.5379917
1333152075.0,B0079,43.3908851,-6.6647783
1333152077.0,B0069,43.3742285,-6.6831258
1333152098.0,B0037,43.3909161,-6.6645225
1333152099.0,B0089,43.5278629,-6.5387517
1333152099.0,B0169,43.5270552,-6.5379714
1333152105.0,B0079,43.3908871,-6.6647941
1333152107.0,B0069,43.3742173,-6.6831289
1333152128.0,B0037,43.3908296,-6.6645307
1333152129.0,B0089,43.5278629,-6.5387517
1333152129.0,B0169,43.5270705,-6.5379779
1333152135.0,B0079,43.3908705,-6.6647212
1333152137.0,B0069,43.3742245,-6.6831233
1333152158.0,B0037,43.3909162,-6.6644383
1333152159.0,B0089,43.5278629,-6.5387517
1333152159.0,B0169,43.5270942,-6.537998
1333152165.0,B0079,43.3908538,-6.6646583
1333152168.0,B0069,43.3742495,-6.6831077
1333152188.0,B0037,43.390923,-6.6644652
1333152189.0,B0089,43.5278629,-6.5387517
1333152190.0,B0169,43.5270944,-6.5379969
1333152195.0,B0079,43.3908719,-6.6646594
1333152198.0,B0069,43.3742342,-6.6831248
1333152218.0,B0037,43.3909508,-6.6645031
1333152219.0,B0089,43.5278629,-6.5387517
1333152220.0,B0169,43.5270726,-6.5379589
1333152225.0,B0079,43.3908681,-6.6647599
1333152228.0,B0069,43.3742382,-6.6831198
1333152248.0,B0037,43.3908726,-6.6645234
1333152249.0,B0089,43.5278629,-6.5387517
1333152250.0,B0169,43.5270856,-6.5380163
1333152255.0,B0079,43.3908986,-6.6647033
1333152258.0,B0069,43.3742525,-6.6831003
1333152278.0,B0037,43.3909605,-6.664459
1333152279.0,B0089,43.5278629,-6.5387517
1333152280.0,B0169,43.527056,-6.5380488
1333152285.0,B0079,43.3908855,-6.6646783
1333152288.0,B0069,43.3742598,-6.6830973
1333152308.0,B0037,43.3909971,-6.6645152
1333152309.0,B0089,43.5278629,-6.5387517
1333152310.0,B0169,43.526929,-6.5378696
1333152315.0,B0079,43.390918,-6.6647124
1333152318.0,B0069,43.3742491,-6.6831011
1333152338.0,B0037,43.3909891,-6.6645067
1333152339.0,B0089,43.5278629,-6.5387517
