Time,Node,Latitude,Longitude
1323993616.0,B0019,43.4884862,-6.1052691
1323993623.0,B0040,43.4883056,-6.1055607
1323993624.0,B0006,43.2520654,-6.0132465
1323993626.0,B0057,43.4883338,-6.1051435
1323993646.0,B0019,43.4884491,-6.1054836
1323993652.0,B0040,43.4884217,-6.10559
1323993654.0,B0006,43.2520879,-6.0132652
1323993657.0,B0057,43.4883338,-6.1051435
1323993676.0,B0019,43.4883163,-6.1053862
1323993682.0,B0040,43.4882584,-6.1052804
1323993683.0,B0006,43.2523859,-6.0132708
1323993688.0,B0057,43.4883338,-6.1051435
1323993712.0,B0040,43.4884605,-6.1057085
1323993713.0,B0006,43.2521391,-6.0133434
1323993717.0,B0057,43.4883338,-6.1051435
1323993736.0,B0019,43.4884908,-6.10538
1323993742.0,B0040,43.4885897,-6.105895
1323993743.0,B0006,43.2521153,-6.0132807
1323993747.0,B0057,43.4883338,-6.1051435
1323993766.0,B0019,43.4883194,-6.1053395
1323993772.0,B0040,43.4884605,-6.1057186
1323993773.0,B0006,43.2521503,-6.0131759
1323993778.0,B0057,43.4883338,-6.1051435
1323993797.0,B0019,43.4883575,-6.1052944
1323993802.0,B0040,43.4885127,-6.10563
1323993803.0,B0006,43.2521764,-6.013091
1323993807.0,B0057,43.4883338,-6.1051435
1323993826.0,B0019,43.4883595,-6.1053584
1323993832.0,B0040,43.4885988,-6.1056594
1323993833.0,B0006,43.2522026,-6.0131148
1323993837.0,B0057,43.4883338,-6.1051435
1323993856.0,B0019,43.4883121,-6.1052791
1323993862.0,B0040,43.4884313,-6.1056242
1323993864.0,B0006,43.2524847,-6.0131398
1323993867.0,B0057,43.4883338,-6.1051435
1323993886.0,B0019,43.4883035,-6.1053543
1323993892.0,B0040,43.4883548,-6.1056326
1323993894.0,B0006,43.252234,-6.0132876
1323993916.0,B0019,43.4883658,-6.1053912
1323993922.0,B0040,43.4883612,-6.1056554
1323993923.0,B0006,43.2521652,-6.0134253
1323993927.0,B0057,43.4883338,-6.1051435
1323993947.0,B0019,43.4883741,-6.1053548
1323993952.0,B0040,43.4882798,-6.1055771
1323993953.0,B0006,43.2521036,-6.0134866
1323993957.0,B0057,43.4883338,-6.1051435
1323993976.0,B0019,43.4883174,-6.1053688
1323993982.0,B0040,43.4881059,-6.1053484
1323993983.0,B0006,43.2521604,-6.0132868
1323993987.0,B0057,43.4883338,-6.1051435
1323994006.0,B0019,43.4883201,-6.1055238
1323994012.0,B0040,43.4881129,-6.1053933
1323994013.0,B0006,43.2521759,-6.0132028
1323994018.0,B0057,43.4883338,-6.1051435
1323994036.0,B0019,43.4883039,-6.1054471
1323994042.0,B0040,43.4882912,-6.1056058
1323994043.0,B0006,43.2521653,-6.0131772
1323994047.0,B0057,43.4883338,-6.1051435
1323994068.0,B0019,43.488337,-6.1053261
1323994072.0,B0040,43.4882861,-6.1055002
1323994073.0,B0006,43.2521631,-6.0131917
1323994078.0,B0057,43.4883338,-6.1051435
1323994096.0,B0019,43.4884107,-6.1053829
1323994103.0,B0040,43.4881602,-6.1054531
1323994104.0,B0006,43.2521717,-6.0131854
1323994107.0,B0057,43.4883338,-6.1051435
1323994126.0,B0019,43.48836,-6.1055288
1323994132.0,B0040,43.4879372,-6.1053531
1323994133.0,B0006,43.2522164,-6.0132574
1323994137.0,B0057,43.4883338,-6.1051435
1323994156.0,B0019,43.4882075,-6.1054081
1323994162.0,B0040,43.4881421,-6.1055031
1323994163.0,B0006,43.2522254,-6.0131455
1323994167.0,B0057,43.4883338,-6.1051435
1323994187.0,B0019,43.488238,-6.1053715
1323994192.0,B0040,43.4882605,-6.1054114
1323994193.0,B0006,43.252131,-6.0132081
1323994197.0,B0057,43.4883338,-6.1051435
1323994216.0,B0019,43.4882792,-6.1054058
1323994222.0,B0040,43.4883131,-6.1055238
1323994223.0,B0006,43.2521932,-6.0131797
1323994227.0,B0057,43.4883338,-6.1051435
1323994246.0,B0019,43.4882896,-6.1053859
1323994252.0,B0040,43.4883816,-6.1055587
1323994253.0,B0006,43.2523482,-6.0131666
1323994258.0,B0057,43.4883338,-6.1051435
1323994276.0,B0019,43.4883973,-6.1054582
1323994282.0,B0040,43.4881587,-6.1052219
1323994283.0,B0006,43.252364,-6.013158
1323994287.0,B0057,43.4883338,-6.1051435
1323994306.0,B0019,43.4883776,-6.1054421
1323994312.0,B0040,43.4881665,-6.1052815
1323994313.0,B0006,43.2525303,-6.0132355
1323994317.0,B0057,43.4883338,-6.1051435
1323994336.0,B0019,43.4883059,-6.1053907
1323994343.0,B0040,43.4883501,-6.1054931
1323994344.0,B0006,43.252577,-6.0132247
1323994347.0,B0057,43.4883338,-6.1051435
1323994366.0,B0019,43.4882843,-6.1054029
1323994372.0,B0040,43.4884448,-6.1056618
1323994374.0,B0006,43.2526116,-6.0132049
1323994377.0,B0057,43.4883338,-6.1051435
1323994396.0,B0019,43.4883195,-6.1053799
1323994402.0,B0040,43.4882765,-6.1054115
1323994405.0,B0006,43.2526166,-6.0131939
1323994407.0,B0057,43.4883338,-6.1051435
1323994427.0,B0019,43.4881935,-6.1054268
1323994433.0,B0040,43.4883124,-6.1053301
1323994434.0,B0006,43.2524384,-6.0131833
1323994437.0,B0057,43.4883338,-6.1051435
1323994456.0,B0019,43.4881797,-6.1054224
1323994462.0,B0040,43.4883235,-6.1052954
1323994464.0,B0006,43.2523676,-6.0132354
1323994467.0,B0057,43.4883338,-6.1051435
1323994486.0,B0019,43.4883431,-6.1054332
1323994492.0,B0040,43.4881996,-6.105261
1323994495.0,B0006,43.252387,-6.0134188
1323994516.0,B0019,43.4882561,-6.1053444
1323994522.0,B0040,43.4881721,-6.105107
1323994524.0,B0006,43.2523273,-6.0134125
1323994527.0,B0057,43.4883338,-6.1051435
1323994547.0,B0019,43.4883458,-6.1053463
1323994552.0,B0040,43.4880194,-6.1048116
1323994554.0,B0006,43.2522411,-6.0133864
1323994557.0,B0057,43.4883338,-6.1051435
1323994577.0,B0019,43.4883893,-6.1054046
1323994582.0,B0040,43.488294,-6.1052934
1323994584.0,B0006,43.2521586,-6.0133375
1323994587.0,B0057,43.4883338,-6.1051435
1323994607.0,B0019,43.4883052,-6.105407
1323994612.0,B0040,43.4882728,-6.1053335
1323994614.0,B0006,43.2521412,-6.0133677
