Time,Node,Latitude,Longitude
1346903944.0,B0041,43.401591,-4.7651872
1346903974.0,B0041,43.401591,-4.7651872
1346904003.0,B0041,43.401591,-4.7651872
1346904033.0,B0041,43.401591,-4.7651872
1346904063.0,B0041,43.401591,-4.7651872
1346904093.0,B0041,43.401591,-4.7651872
1346904123.0,B0041,43.401591,-4.7651872
1346904153.0,B0041,43.401591,-4.7651872
1346904183.0,B0041,43.401591,-4.7651872
1346904213.0,B0041,43.401591,-4.7651872
1346904243.0,B0041,43.401591,-4.7651872
1346904273.0,B0041,43.401591,-4.7651872
1346904303.0,B0041,43.401591,-4.7651872
1346904333.0,B0041,43.401591,-4.7651872
1346904363.0,B0041,43.401591,-4.7651872
1346904393.0,B0041,43.401591,-4.7651872
1346904423.0,B0041,43.401591,-4.7651872
1346904453.0,B0041,43.401591,-4.7651872
1346904483.0,B0041,43.401591,-4.7651872
1346904513.0,B0041,43.401591,-4.7651872
1346904543.0,B0041,43.401591,-4.7651872
1346904573.0,B0041,43.401591,-4.7651872
1346904604.0,B0041,43.401591,-4.7651872
1346904634.0,B0041,43.401591,-4.7651872
1346904672.0,B0041,43.401591,-4.7651872
1346904694.0,B0041,43.401591,-4.7651872
1346904724.0,B0041,43.401591,-4.7651872
1346904754.0,B0041,43.401591,-4.7651872
1346904784.0,B0041,43.401591,-4.7651872
1346904814.0,B0041,43.401591,-4.7651872
1346904844.0,B0041,43.401591,-4.7651872
1346904874.0,B0041,43.401591,-4.7651872
1346904904.0,B0041,43.401591,-4.7651872
1346904934.0,B0041,43.401591,-4.7651872
1346904964.0,B0041,43.401591,-4.7651872
1346904994.0,B0041,43.401591,-4.7651872
1346905024.0,B0041,43.401591,-4.7651872
1346905054.0,B0041,43.401591,-4.7651872
1346905084.0,B0041,43.401591,-4.7651872
1346905114.0,B0041,43.401591,-4.7651872
1346905144.0,B0041,43.4231495,-4.9285572
1346905174.0,B0041,43.4230041,-4.9285737
1346905204.0,B0041,43.4248577,-4.9194194
1346905234.0,B0041,43.4251764,-4.919864
1346905264.0,B0041,43.425086,-4.9197617
1346905294.0,B0041,43.4252021,-4.9197826
1346905324.0,B0041,43.4251374,-4.9197159
1346905354.0,B0041,43.4251336,-4.9196647
1346905384.0,B0041,43.4251172,-4.9197945
1346905414.0,B0041,43.4251083,-4.9197521
1346905444.0,B0041,43.4250905,-4.9196999
1346905474.0,B0041,43.4250732,-4.9198808
1346905504.0,B0041,43.4251023,-4.9198405
1346905534.0,B0041,43.4251459,-4.9197429
1346905564.0,B0041,43.4251205,-4.9197363
1346905594.0,B0041,43.4251768,-4.9196225
1346905624.0,B0041,43.4251511,-4.9196573
1346905654.0,B0041,43.4251303,-4.9197087
1346905684.0,B0041,43.4251223,-4.9198142
1346905714.0,B0041,43.425173,-4.9197123
1346905744.0,B0041,43.4251715,-4.9196438
1346905774.0,B0041,43.4251624,-4.9196675
1346905804.0,B0041,43.4250858,-4.9195961
1346905834.0,B0041,43.4249409,-4.9195296
1346905864.0,B0041,43.4250319,-4.9195801
1346905894.0,B0041,43.4250816,-4.9196611
1346905924.0,B0041,43.425111,-4.9197017
1346905954.0,B0041,43.4251485,-4.9196857
1346905984.0,B0041,43.4251463,-4.9196989
1346906014.0,B0041,43.4251113,-4.9197861
1346906044.0,B0041,43.4250896,-4.9197795
1346909465.0,B0041,43.4191414,-4.9043917
1346909496.0,B0041,43.4191162,-4.9044074
1346909525.0,B0041,43.4191144,-4.9043974
1346909555.0,B0041,43.419122,-4.9044034
1346909585.0,B0041,43.4191366,-4.9043804
1346909615.0,B0041,43.4191284,-4.9043467
1346909646.0,B0041,43.4191105,-4.9043269
1346909675.0,B0041,43.4191004,-4.9043296
1346909706.0,B0041,43.4190925,-4.904342
1346909735.0,B0041,43.4191159,-4.904394
